Application                                                  Testcase           xsd  xml-compare        xpath
ibo Prometheus 3.9.0.0                                       C.1.0                0          546            4
ibo Prometheus 3.9.0.0                                       A.3.0                1          162            0
ibo Prometheus 3.9.0.0                                       A.4.1                2          344            2
ibo Prometheus 3.9.0.0                                       A.2.0                0          148            0
ibo Prometheus 3.9.0.0                                       C.2.0                1          469           27
ibo Prometheus 3.9.0.0                                       A.4.0                4          119           17
ibo Prometheus 3.9.0.0                                       B.1.0                2          551           15
ibo Prometheus 3.9.0.0                                       A.1.0                0           72            0
ibo Prometheus 3.9.0.0                                       C.1.1                1          360            8
ibo Prometheus 3.9.0.0                                       B.2.0                5         1727           41
ibo Prometheus 3.9.0.0                                       C.3.0                1          347            2
Aeneis 5.7.89.2400                                           C.1.0                0          550           15
Aeneis 5.7.89.2400                                           A.3.0                0          178            0
Aeneis 5.7.89.2400                                           A.4.1                0          269            2
Aeneis 5.7.89.2400                                           A.2.0                0          179            0
Aeneis 5.7.89.2400                                           A.4.0                0          275            2
Aeneis 5.7.89.2400                                           B.1.0                7          533            3
Aeneis 5.7.89.2400                                           A.1.0                0           84            0
Aeneis 5.7.89.2400                                           C.1.1                0          297           13
Aeneis 5.7.89.2400                                           B.2.0                4         1666           34
Aeneis 5.7.89.2400                                           C.3.0                0          483            6
BPMN-Modeler for Confluence Enterprise 3.5.1                 C.1.0                0          457            3
BPMN-Modeler for Confluence Enterprise 3.5.1                 A.3.0                0          104            0
BPMN-Modeler for Confluence Enterprise 3.5.1                 A.4.1                0           86            0
BPMN-Modeler for Confluence Enterprise 3.5.1                 A.2.0                0          103            0
BPMN-Modeler for Confluence Enterprise 3.5.1                 C.2.0                0           44            0
BPMN-Modeler for Confluence Enterprise 3.5.1                 C.4.0                0            4          108
BPMN-Modeler for Confluence Enterprise 3.5.1                 A.4.0                0          191            0
BPMN-Modeler for Confluence Enterprise 3.5.1                 B.1.0                0          358            2
BPMN-Modeler for Confluence Enterprise 3.5.1                 A.1.0                0           50            0
BPMN-Modeler for Confluence Enterprise 3.5.1                 C.1.1                0          270            5
BPMN-Modeler for Confluence Enterprise 3.5.1                 B.2.0                0         1082            0
BPMN-Modeler for Confluence Enterprise 3.5.1                 C.3.0                0          305            0
MID Innovator 15.0.1.20127                                   C.1.0                0          402           53
MID Innovator 15.0.1.20127                                   A.3.0                0           95            2
MID Innovator 15.0.1.20127                                   A.4.1                0          238           16
MID Innovator 15.0.1.20127                                   A.2.0                0           89            0
MID Innovator 15.0.1.20127                                   C.2.0                0          297            6
MID Innovator 15.0.1.20127                                   C.4.0                0          525           87
MID Innovator 15.0.1.20127                                   A.4.0                0          159            0
MID Innovator 15.0.1.20127                                   B.1.0                0          322            7
MID Innovator 15.0.1.20127                                   A.1.0                0           46            0
MID Innovator 15.0.1.20127                                   C.1.1                0          203           29
MID Innovator 15.0.1.20127                                   B.2.0                0          822           23
MID Innovator 15.0.1.20127                                   C.3.0                0          242           31
iGrafx Process 2013 for Six Sigma 15.0.4.1565                A.3.0                0           59           17
iGrafx Process 2013 for Six Sigma 15.0.4.1565                A.4.1                0          115           33
iGrafx Process 2013 for Six Sigma 15.0.4.1565                A.2.0                0           57           11
iGrafx Process 2013 for Six Sigma 15.0.4.1565                A.4.0                0          104           27
iGrafx Process 2013 for Six Sigma 15.0.4.1565                B.1.0                1          165           52
